"2024 Turkish local elections","2024 Turkish local elections.svg"
"Legislative Yuan constituencies labelled map","2019.svg"
"Lieutenancy Areas of the United Kingdom","Lord Lieutenancies.png"
"List LDS Temple Oceania Map","BlankMap-Oceania.png"
"Los Lagos Region Communes Map","Provincias de Los Lagos.svg"
"Magellan and Chilean Antarctia Region Communes Map","Provincias de Magallanes y de la Antártica Chilena.svg"
"Malang City labelled map","Indonesia Malang City location map.svg"
"Malappuram Labelled Map","BlankMapMalappuramSubdistricts.svg"
"Malaysia Labelled Map","Malaysia states blank (color scheme).png"
"Maluku Labelled Map","Peta Buta Kabupaten dan Kota di Maluku Warna.png"
"Map of administrative divisions of Moldova","Moldova administrative map for template trans.svg"
"Map of American English","USA location map.svg"
"Map of Canadian English","Blank_map_of_Canada.svg"
"Map of Counties of Lithuania","Apskritis of Lithuania.png"
"Map of district division of Santa Maria, Rio Grande do Sul","Distritos de Santa Maria v2006.png"
"Map of Egypt's governorates","مصر-3.png"
"Map of Poland","000 Polonia harta.PNG"
"Maskwacis Map","Maskwacis Community Blank Map.svg"
"Mauritius Districts Labelled Map","Mauritius districts blank.svg"
"Memphis image map","Carte-Memphis-Necropoles 0109.jpg"
"Mexico labeled map","Division politica mexico.svg"
"Mindanao labelled map","Mindanao blank map.png"
"Monterrey Labelled Map","Monterrey metropolitan.png"
"Moscow Oblast Divisions","Russia Moscow oblast locator map.svg"
"New Brunswick County Labelled Map","New Brunswick, Canada location map.svg"
"New federal states labelled map","Die Neuen Länder.svg"
"New Taipei","map.png"
"North East (Nigeria) States Labelled Map","North East region of Nigeria.svg"
"North Korea Provincial level Labelled Map","Provinces of Korea (DPRK point of view)+Inter-Korean border.svg"
"North Korea Provincial level Labelled New Map","North Korea location map 2.svg"
"North Sumatra labelled map","Sumatra Utara Map.png"
"Northern Italy regional languages labelled map","map-blank.png"
"Oceania Labelled Map","EEZ Oceania.svg"
"Old City (Damascus)","OldCityDamascus.svg"
"Old City (Homs)","Old Homs City Map.jpg"
"Oman Gov","Oman_adm_location_map.svg"
"Pahang Labelled Map","Pahang location map.svg"
"Palakkad Labelled Map","BlankMapPalakkadSubdistricts.svg"
"Paraguay labelled map","Paraguay location map.svg"
"Parishes Map of Jersey","Jersey parishes.svg"
"Parishes of Preston","City of Preston parishes map without labels.svg"
"Penang district level labelled map","Penang location map.svg"
"Penang electoral constituencies labelled map 2004","Penang constituency map 2004.svg"
"Penang electoral constituencies labelled map 2008","Penang constituency map 2008.svg"
"Penang electoral constituencies labelled map 2013","Penang constituency map 2013.svg"
"Perak Labelled Map","Districts and local authorities of Perak (blank).svg"
"Philippines labelled map nav","[[File:ASEAN-PH.PNG"
"Poland Labelled Map Small","Kopia_Map_of_Poland.svg"
"Polish Voivodeships/infobox","Map of Poland colorful.png"
"Political subdivisions of Venezuela","Venezuela location map.svg"
"Political Territorial Division of Nueva Esparta","Division Politico Territorial Nueva Esparta no labeled.svg"
"Pomeranian Voivodeship Labelled Map Small","Pomeranian outline svg.svg"
"Portland NRHP click map","http://tools.wikimedia.de/~dapete/ImageMapEdit/ImageMapEdit.html?en</noinclude><imagemap>File:Portland.png"
"Postcode area imagemap","map.svg"
"Postcode areas imagemap","map.svg"
"Provinces of Vietnam","Vietnam location map coloured.svg"
"Puerto Rico Labelled Map","Mapa de los municipios de Puerto Rico (sin etiquetas).png"
"Qingzang railway map","QingZang_Railway.png"
"Quebec universities labelled map","Universities in Québec.svg"
"Regional Federal Courts","Regiões dos TRF.svg"
"Regions of Georgia","Regions of Georgia.svg"
"Regions of Namibia Labelled Map","Karte Namibia 250.PNG"
"Riau Islands Labelled Map","New Riau Islands Regencies Image.png"
"Riau Labelled Map","Riau Regencies Image.png"
"Romanian language clickable map","Atlanticul-800px.png"
"Sabah Labelled Map","Divisions and districts of Sabah (blank).svg"
"Same-sex marriage in India","India-locator-map-blank.svg"
"Sarawak Labelled Map","Divisions and districts of Sarawak (blank).svg"
"Sardinia regional languages labelled map","Italy Sardinia relief location map.svg"
"Saudi Arabia Prv","Saudi_Arabia_location_map.svg"
"Schengen Agreement Labelled Map","Schengen Agreement map.svg"
"Schengen Agreement Labelled Map 2","Schengen Area (Labelled Map).png"
"Scotland Regions Labelled Map","text=[[File:Circle-information.svg"
"Selangor Labelled Map","Selangor.svg"
"SFRY map","Yugoslavia (1946-1990) location map.svg"
"Shipyards of the Clyde","River clyde outline.png"
"Singapore Planning Areas Labelled Map","Singapore Planning Regions.svg"
"Somaliland Regions Labelled Map","Blank Somaliland Map.svg"
"South Korea Provincial level Labelled Map","Provinces of Korea (ROK point of view)+Inter-Korean border.svg"
"Southern Illyria Labeled Map","Unmarked map of Albania.png"
"Southern Italy regional languages labelled map","map-blank.png"
"Special Region of Yogyakarta labelled map","Indonesia Yogyakarta location map.svg"
"Sri Lankan Provinces and districts","Sri Lankan Provinces and districts.PNG"
"States of Austria labeled map","Austria location map.svg"
"Subdivisions of Qingdao","Administrative Division Qingdao.png"
"Subotica Labelled Map","SuboticaMunicip2.png"
"Switzerland Cantons Labelled Map","Switzerland administrative divisions - colored unlabelled.svg"
"Switzerland Glaciers Labelled Map","2.jpg"
"Switzerland largest parties in cantonal parliaments labelled map","Switzerland largest parties in cantonal parliaments.svg"
"Switzerland Mountains Labelled Map","2.jpg"
"Sydney image with region labels","Sydney_Areas_Map.svg"
"Taiwan Labelled Map","Subdivision types of the Republic of China (2014).svg"
"Tanzania Regions Labelled Map","Tanzania_location_map.svg"
"Tao Labelled Map","Tao monuments labeled map background.svg"
"Tasmania cities map","Tasmania_location_map_alt.png"
"Telford area","TelfordArea.jpg"
"Terengganu Labelled Map","District of Terengganu.png"
"Tirana map","Minibashkitë_in_Tirana_blank.svg"
"Tokyo Metropolis Labelled Map","File:Tokyo_Metropolis_Map.svg"
"Transylvania Labelled Map","TransylvaniaProper.svg"
"Turkey governors","Turkey provinces blank gray.svg"
"Turkey Labelled Map","BlankMapTurkeyProvinces.png"
"Turkish general election, June 2015 labelled map","Parlamentswahl in der Türkei 2015.svg"
"Turkish general election, November 2015 labelled map","Turkish general election, November 2015 provinces only.png"
"UAE Emirates map","United Arab Emirates location map.svg"
"UK sewerage companies map","map.svg"
"Ukraine Labelled Map","Ukraine administrative locations map, improved.svg"
"Ulster County, New York Map","York.svg"
"Union Territories Labelled Map","India-locator-map-blank.svg"
"Urban Settlements Botoșani","Urban_Settlements_Botosani.png"
"Uzbekistan Regions Labelled Map","Uzbekistan location map.svg"
"Valley of the kings imagemap","East Valley of the Kings Sketch Map (Topo).png"
"Vegueria of Barcelona","Àmbit metropolità de Barcelona (2017).svg"
"Wawel map","Wawel Hill - basic map.svg"
"West Asia labelled map","Western Asia 2.png"
"West Bank Labelled Map","WestBankGovernatesNonLabeled.png"
"West Dallas labelled map","Dallasmap westdallas.svg"
"Western Australia regions labelled map","Regions of Western Australia (plain).svg"
"World Labelled Map","Newworldmap_grayscale.svg"
"Zambales labelled map","Map of Zambales with Scarborough shoal (colored).svg"
"Ñuble Region Communes Map","Provincias de Ñuble.svg"
