



'
-

0
About,                       Linking the reader to other meaning of the same word.,      https://en.wikipedia.org/wiki/Template:About
about other people
About year
according to whom
Additional citation needed
additional citations needed, Asks for help.,                                             https://en.wikipedia.org/wiki/Template:Additional_citation_needed
Advert,                      This article contains promotional content.,                 https://en.wikipedia.org/wiki/Template:Advert
ahnentafel
AI-generated section,       Needs review.,           https://en.wikipedia.org/wiki/Template:AI-generated_section
AI-generated,                Suspected AI content banner.,                                https://en.wikipedia.org/wiki/Template:AI-generated
Airport statistics
Airport-Statistics
ambiguous
Americana Poster
AN chess
anchor,                      Used for inbound links. Not relevant in epub.,              https://en.wikipedia.org/wiki/Template:Anchor
As of?
Attribution needed
Audio,                       Link to an audio file. Not really relevant in epub files.,  https://en.wikipedia.org/wiki/Template:Audio
Authority control (arts)
Authority control,           Validate formats and values.,                               https://en.wikipedia.org/wiki/Template:Authority_control
Automatic taxobox
Automotive engine
Bare URL inline
Bare URL PDF
Being merged from
better source
Better source needed,        Ask for help.,                                              https://en.wikipedia.org/wiki/Template:Better_source_needed
bots,                        Control if bots can edit the page.,                         https://en.wikipedia.org/wiki/Template:Bots
Broken link,                Dead link,               https://en.wikipedia.org/wiki/Template:Dead_link
By whom,                      Asks for attribution.,                                      https://en.wikipedia.org/wiki/Template:By_whom
Campaignbox Korean War
category see also
cbignore
CCBYSASource
CC-notice
Chart
chart bottom
chart top
CIA World Factbook,          This article incorporates public domain material.,          https://en.wikipedia.org/wiki/Template:CIA_World_Factbook
citation needed
citations needed
clarification needed
clarify
Cleanup
Cleanup rewrite,            Needs cleanup,           https://en.wikipedia.org/wiki/Template:Cleanup_rewrite
clear
Clear left
clear right
Closed access
clr
cmn,                         Mandarin Chinese columns-list alias.,                       https://en.wikipedia.org/wiki/Template:cmn
cn
colbegin
col-begin
col-break
col div,                     Columns-list div col alias.,                                https://en.wikipedia.org/wiki/Template:Col_div
colend
col-end
cols,                        Multi-column list wrapper.,                                 https://en.wikipedia.org/wiki/Template:cols
columns-list
Commons
Commons and category
Commons category
Commons category-inline
Commons category inline
Commonscatinline,            Inline link to Commons category.,                           https://en.wikipedia.org/wiki/Template:Commonscatinline
commonscat,                  Link to category in Wikimedia Commons.,                     https://en.wikipedia.org/wiki/Template:Commons_category
Commons-inline
confused,                    Redirect hatnote.,                                          https://en.wikipedia.org/wiki/Template:confused
Confusing,                   Cleanup tag.,                                               https://en.wikipedia.org/wiki/Template:Confusing
Confusing section
Contains special characters
coord missing
Copy edit,                   Cleanup banner.,                                            https://en.wikipedia.org/wiki/Template:Copy_edit
CS1 config
Data missing
date?
date missing,                Inline cleanup tag.,                                        https://en.wikipedia.org/wiki/Template:Date_missing
DDB
Dead link
Dead link,                  Dead link,               https://en.wikipedia.org/wiki/Template:Dead_link
disambiguation
discogs artist
Discogs artist
discuss
Disputed
Disputed inline
Disputed map
disputed section
Distinguish
div
divcol
div col
divcolend
divcol end
div col end
Div end
DNB
DNB portal
DNB-Portal
dubious
dubious span
dynamic list
eastern name order
EB1911 poster
EB1911,                      Public domain attribution banner.,                          https://en.wikipedia.org/wiki/Template:EB1911
EB1922 Poster
EB9 poster
editorializing
effects of 1989 revolutions map
efn
